date,home_sigla,home_team,away_sigla,away_team,home_score,away_score
1872-11-30,SCO,Scotland,ENG,England,0,0
1873-03-08,ENG,England,SCO,Scotland,4,2
1874-03-07,SCO,Scotland,ENG,England,2,1
1875-03-06,ENG,England,SCO,Scotland,2,2
1876-03-04,SCO,Scotland,ENG,England,3,0
1877-03-03,ENG,England,SCO,Scotland,1,3
1878-03-02,SCO,Scotland,ENG,England,7,2
1879-04-05,ENG,England,SCO,Scotland,5,4
1880-03-13,SCO,Scotland,ENG,England,5,4
1881-03-12,ENG,England,SCO,Scotland,1,6
1882-03-11,SCO,Scotland,ENG,England,5,1
1883-03-10,ENG,England,SCO,Scotland,2,3
1884-03-15,SCO,Scotland,ENG,England,1,0
1885-03-21,ENG,England,SCO,Scotland,1,1
1885-11-28,USA,United States,CAN,Canada,0,1
1886-03-27,SCO,Scotland,ENG,England,1,1
1886-11-25,USA,United States,CAN,Canada,3,2
1887-03-19,ENG,England,SCO,Scotland,2,3
1888-03-17,SCO,Scotland,ENG,England,0,5
1888-09-19,SCO,Scotland,CAN,Canada,4,0
1889-04-13,ENG,England,SCO,Scotland,2,3
1890-04-05,SCO,Scotland,ENG,England,1,1
1891-04-04,ENG,England,SCO,Scotland,2,1
1892-04-02,SCO,Scotland,ENG,England,1,4
1893-04-01,ENG,England,SCO,Scotland,5,2
1894-04-07,SCO,Scotland,ENG,England,2,2
1895-04-06,ENG,England,SCO,Scotland,3,0
1896-04-04,SCO,Scotland,ENG,England,2,1
1897-04-03,ENG,England,SCO,Scotland,1,2
1898-04-02,SCO,Scotland,ENG,England,1,3
1899-04-08,ENG,England,SCO,Scotland,2,1
1900-04-07,SCO,Scotland,ENG,England,4,1
1901-03-30,ENG,England,SCO,Scotland,2,2
1902-05-03,ENG,England,SCO,Scotland,2,2
1902-07-20,URU,Uruguay,ARG,Argentina,0,6
1903-04-04,ENG,England,SCO,Scotland,1,2
1903-09-13,ARG,Argentina,URU,Uruguay,2,3
1904-04-09,SCO,Scotland,ENG,England,0,1
1904-05-01,BEL,Belgium,FRA,France,3,3
1905-02-12,FRA,France,SUI,Switzerland,1,0
1905-04-01,ENG,England,SCO,Scotland,1,0
1905-04-30,BEL,Belgium,NED,Netherlands,1,4
1905-05-07,BEL,Belgium,FRA,France,7,0
1905-05-14,NED,Netherlands,BEL,Belgium,4,0
1905-08-15,ARG,Argentina,URU,Uruguay,0,0
1906-04-07,SCO,Scotland,ENG,England,2,1
1906-04-22,FRA,France,BEL,Belgium,0,5
1906-04-29,BEL,Belgium,NED,Netherlands,5,0
1906-05-13,NED,Netherlands,BEL,Belgium,2,3
1906-07-09,ARG,Argentina,RSA,South Africa,0,1
1906-08-15,URU,Uruguay,ARG,Argentina,0,2
1906-10-21,ARG,Argentina,URU,Uruguay,2,1
1907-04-06,ENG,England,SCO,Scotland,1,1
1907-04-14,BEL,Belgium,NED,Netherlands,1,3
1907-04-21,BEL,Belgium,FRA,France,1,2
1907-05-09,NED,Netherlands,BEL,Belgium,1,2
1908-03-08,SUI,Switzerland,FRA,France,1,2
1908-03-29,BEL,Belgium,NED,Netherlands,1,4
1908-04-04,SCO,Scotland,ENG,England,1,1
1908-04-05,SUI,Switzerland,GER,Germany,5,3
1908-04-12,FRA,France,BEL,Belgium,1,2
1908-04-26,NED,Netherlands,BEL,Belgium,3,1
1908-05-10,NED,Netherlands,FRA,France,4,1
1908-06-06,AUT,Austria,ENG,England,1,6
1908-06-07,AUT,Austria,GER,Germany,3,2
1908-06-08,AUT,Austria,ENG,England,1,11
1908-07-12,SWE,Sweden,NOR,Norway,11,3
1908-08-15,URU,Uruguay,ARG,Argentina,2,2
1908-09-13,ARG,Argentina,URU,Uruguay,2,1
1908-10-04,ARG,Argentina,URU,Uruguay,0,1
1908-10-23,NED,Netherlands,SWE,Sweden,2,0
1908-10-25,NED,Netherlands,SWE,Sweden,5,3
1908-10-26,BEL,Belgium,SWE,Sweden,2,1
1909-03-21,BEL,Belgium,NED,Netherlands,1,4
1909-04-03,ENG,England,SCO,Scotland,2,0
1909-04-04,GER,Germany,SUI,Switzerland,1,0
1909-04-25,NED,Netherlands,BEL,Belgium,4,1
1909-05-09,BEL,Belgium,FRA,France,5,2
1909-06-01,AUT,Austria,ENG,England,1,8
1909-08-15,ARG,Argentina,URU,Uruguay,2,1
1909-09-19,URU,Uruguay,ARG,Argentina,2,2
1909-10-10,ARG,Argentina,URU,Uruguay,3,1
1910-03-13,BEL,Belgium,NED,Netherlands,3,2
1910-04-02,SCO,Scotland,ENG,England,2,0
1910-04-03,FRA,France,BEL,Belgium,0,4
1910-04-03,SUI,Switzerland,GER,Germany,2,3
1910-04-10,NED,Netherlands,BEL,Belgium,7,0
1910-04-24,NED,Netherlands,GER,Germany,4,2
1910-05-16,GER,Germany,BEL,Belgium,0,3
1910-06-12,ARG,Argentina,URU,Uruguay,4,1
1910-08-15,URU,Uruguay,ARG,Argentina,3,1
1910-09-11,NOR,Norway,SWE,Sweden,0,4
1910-10-16,GER,Germany,NED,Netherlands,1,2
1910-11-13,ARG,Argentina,URU,Uruguay,1,1
1910-11-27,ARG,Argentina,URU,Uruguay,2,6
1911-03-19,BEL,Belgium,NED,Netherlands,1,5
1911-03-26,GER,Germany,SUI,Switzerland,6,2
1911-04-01,ENG,England,SCO,Scotland,1,1
1911-04-02,NED,Netherlands,BEL,Belgium,3,1
1911-04-23,BEL,Belgium,GER,Germany,2,1
1911-04-23,SUI,Switzerland,FRA,France,5,2
1911-04-30,BEL,Belgium,FRA,France,7,1
1911-06-18,SWE,Sweden,GER,Germany,2,4
1911-08-15,ARG,Argentina,URU,Uruguay,0,2
1911-09-17,SWE,Sweden,NOR,Norway,4,1
1911-09-17,URU,Uruguay,ARG,Argentina,2,3
1911-10-08,URU,Uruguay,ARG,Argentina,1,1
1911-10-09,GER,Germany,AUT,Austria,1,2
1911-10-22,ARG,Argentina,URU,Uruguay,2,0
1911-10-29,GER,Germany,SWE,Sweden,1,3
1911-10-29,URU,Uruguay,ARG,Argentina,3,0
1912-01-28,FRA,France,BEL,Belgium,1,1
1912-02-18,FRA,France,SUI,Switzerland,4,1
1912-02-20,BEL,Belgium,SUI,Switzerland,9,2
1912-03-10,BEL,Belgium,NED,Netherlands,1,2
1912-03-23,SCO,Scotland,ENG,England,1,1
1912-03-24,NED,Netherlands,GER,Germany,5,5
1912-04-28,NED,Netherlands,BEL,Belgium,4,3
1912-05-05,SUI,Switzerland,GER,Germany,1,2
1912-06-16,NOR,Norway,SWE,Sweden,1,2
1912-06-29,AUT,Austria,GER,Germany,5,1
1912-06-29,SWE,Sweden,NED,Netherlands,3,4
1912-06-30,NED,Netherlands,AUT,Austria,3,1
1912-07-01,AUT,Austria,NOR,Norway,1,0
1912-08-15,URU,Uruguay,ARG,Argentina,2,0
1912-08-25,URU,Uruguay,ARG,Argentina,3,0
1912-09-22,ARG,Argentina,URU,Uruguay,0,1
1912-10-06,ARG,Argentina,URU,Uruguay,3,3
1912-11-03,SWE,Sweden,NOR,Norway,4,2
1912-11-17,GER,Germany,NED,Netherlands,2,3
1912-12-01,URU,Uruguay,ARG,Argentina,1,3
1913-02-16,BEL,Belgium,FRA,France,3,0
1913-03-09,BEL,Belgium,NED,Netherlands,3,3
1913-03-09,SUI,Switzerland,FRA,France,1,4
1913-04-05,ENG,England,SCO,Scotland,1,0
1913-04-20,NED,Netherlands,BEL,Belgium,2,4
1913-05-04,SUI,Switzerland,BEL,Belgium,1,2
1913-05-18,GER,Germany,SUI,Switzerland,1,2
1913-06-08,SWE,Sweden,NOR,Norway,9,0
1913-06-15,ARG,Argentina,URU,Uruguay,1,1
1913-07-09,ARG,Argentina,URU,Uruguay,2,1
1913-08-15,ARG,Argentina,URU,Uruguay,4,0
1913-08-31,ARG,Argentina,URU,Uruguay,2,0
1913-10-05,URU,Uruguay,ARG,Argentina,1,0
